4	0	0	1	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0
12	2	0	0	2	2	13	2	5	2	0
14	3	1	2	4	2	8	0	4	0	0
16	5	0	5	6	3	17	0	2	6	0
18	4	0	0	3	1	6	0	4	0	0
20	2	2	2	7	1	3	0	4	3	0
22	5	1	0	3	2	3	0	4	3	0
24	0	0	1	0	0	0	0	1	2	0
2	0	0	1	0	0	0	0	1	1	0
4	0	0	0	0	0	1	0	1	1	0
6	0	0	0	0	0	0	0	0	1	0
8	0	0	0	0	0	0	0	1	2	0
10	0	0	1	0	0	1	0	1	2	0
12	7	9	12	20	12	8	5	13	22	4
14	13	14	16	15	20	16	6	14	18	6
16	13	14	7	14	12	8	8	13	9	6
18	3	7	6	6	10	9	8	3	10	6
20	4	7	6	12	6	3	6	4	6	2
22	0	3	6	6	9	4	3	6	3	0
24	0	0	0	2	2	1	0	0	1	1
2	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	1	1	1
6	0	0	0	0	0	0	1	1	1	0
8	3	2	1	2	0	0	2	1	1	1
10	1	3	1	1	0	1	2	1	2	1
12	24	15	16	18	21	20	11	10	22	18
14	11	18	11	9	13	11	12	8	15	6
16	11	12	13	8	11	6	9	8	12	12
18	2	13	7	3	5	7	10	8	7	7
20	4	6	6	3	7	6	7	7	8	4
22	3	5	4	3	7	1	3	2	2	6
24	0	4	1	1	6	0	1	1	0	1
2	0	0	0	1	0	1	0	0	1	0
4	0	0	1	1	0	0	0	0	0	0
6	0	0	0	1	0	0	0	0	0	0
8	2	0	0	0	0	0	1	0	0	0
10	0	1	2	1	1	1	3	3	3	0
12	7	16	12	11	10	8	12	14	11	14
14	4	3	6	4	4	4	6	3	8	2
16	5	2	3	3	11	7	10	7	4	8
18	5	5	6	3	5	5	17	1	6	3
20	6	1	4	1	4	4	4	3	3	5
22	2	1	3	2	0	4	5	2	1	1
24	0	0	1	1	2	1	0	0	2	1
2	0	0	1	0	0	0	0	0	2	0
4	0	0	0	1	0	0	0	0	1	1
6	0	0	0	0	0	0	1	0	1	0
8	0	0	0	0	0	1	1	0	1	0
10	3	1	0	1	1	2	5	0	0	1
12	8	7	12	4	4	10	12	10	7	13
14	4	3	0	2	4	5	6	5	2	3
16	3	1	2	1	3	6	1	1	4	5
18	1	1	2	1	2	3	0	1	1	2
20	1	0	0	0	0	0	0	1	1	0
22	1	0	0	1	0	2	0	2	0	0
24	1	0	0	0	0	1	1	0	0	0
2	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0
