2	0.03675	0.17875	0.232416667	0.14175	0.04875	0.10775	0.139416667	0.005083333	0.03675	0.029416667	0.14175	0.20075	0	0	0.15175	0.039083333	0.034083333	0.098083333	0.007416667	0.073083333
4	0.0045	0.248833333	0.2195	0.207166667	0.1045	0.084833333	0.0825	0.043166667	0.035833333	0.1535	0.102166667	0.129166667	0.094833333	0.087166667	0.119166667	0.089833333	0.080166667	0.116833333	0.0775	0.1045
6	0.098416667	0.174083333	0.17675	0.18175	0.186416667	0.223083333	0.240083333	0.137416667	0.113083333	0.135083333	0.14475	0.16175	0.081083333	0.12775	0.093416667	0	0.10075	0	0.10075	0.09575
8	0.016916667	0.119916667	0.122583333	0.058583333	0.06625	0.090583333	0	0.095583333	0.05625	0.090583333	0.060916667	0.03925	0	0.097583333	0.080583333	0.080583333	0.075583333	0	0.041583333	0.036583333
10	0.15825	0.13125	0.067916667	0.02125	0.248916667	0.22225	0.219583333	0.143916667	0.001916667	0.133916667	0.084916667	0.055916667	0.138916667	0.197583333	0	0.241583333	0.09025	0.170583333	0.092583333	0.055916667
12	0.05025	0.15525	0.01325	0.08925	0.103916667	0.06225	0.03025	0.137916667	0.054916667	0.020583333	0.062583333	0.142916667	0	0.10625	0.11825	0	0.02325	0.003583333	0.005916667	0.04525
14	0.050583333	0.023916667	0.028583333	0.03625	0.26325	0.050583333	0.050583333	0.057916667	0.006916667	0.106916667	0.09725	0.011583333	0	0.099916667	0.016583333	0.003916667	0	0	0.045916667	0.001583333
16	0.057583333	0.08225	0.089583333	0.187583333	0.108916667	0.045916667	0.020916667	0.016583333	0.052916667	0.25825	0.072583333	0.089583333	0.113916667	0.030916667	0.062583333	0.01625	0	0	0.018916667	0.013583333
18	0.084416667	0.087083333	0.084416667	0.096416667	0.148083333	0.03575	0.045416667	0.06275	0.11375	0.065083333	0.06475	0.055083333	0	0.19175	0.14075	0.03275	0	0	0.00375	0.197083333
20	0.029083333	0.146416667	0.056083333	0.07575	0.151083333	0.183416667	0.005083333	0.124416667	0.029416667	0.13175	0	0.044083333	0	0	0.009416667	0.04875	0.019416667	0	0	0.03875
22	0.078416667	0.242083333	0.063416667	0.171416667	0.051083333	0.022083333	0.041416667	0.061083333	0.02675	0.019416667	0.051083333	0.144416667	0.107416667	0	0.00975	0.078416667	0.03175	0	0	0
24	0.098916667	0.12325	0.21625	0.162583333	0.06225	0.01825	0.162583333	0.069583333	0.042916667	0.079583333	0.079583333	0.128583333	0	0.025916667	0.132916667	0	0.035583333	0	0	0
2	0.018333333	0.043	0.045666667	0.045333333	0.101333333	0.011	0.047666667	0.026	0.026	0	0.057333333	0.035666667	0	0.092	0.153	0.094333333	0.038	0.072333333	0.062333333	0
4	0.001833333	0.1585	0.062833333	0.1045	0.0385	0.058166667	0.124166667	0.019166667	0.058166667	0.1365	0.065166667	0.0925	0	0.0165	0.099833333	0.014166667	0	0	0.026166667	0.058166667
6	0.019083333	0.090083333	0.058416667	0.107083333	0.11675	0.11675	0.03875	0.109416667	0.036416667	0.03875	0.058416667	0.13875	0.107083333	0.02375	0.04575	0.12675	0.04575	0.11175	0.13375	0.009083333
8	0.0715	0.037166667	0.071166667	0.090833333	0.0615	0.0835	0.056833333	0.108166667	0.008166667	0.059166667	0.066166667	0.0395	0	0.007833333	0.0985	0.015166667	0	0	0.012833333	0.0225
10	0.129666667	0.122333333	0.076	0.083	0.142	0.063666667	0.122333333	0.098	0.029666667	0.076	0.041333333	0.122333333	0.122333333	0.124666667	0.159	0.083	0.088	0.051666667	0.088	0
12	0.041833333	0.126833333	0.0805	0.122166667	0.0685	0.075833333	0.0955	0.056166667	0.0365	0.031833333	0.134166667	0.1025	0	0.058833333	0.115166667	0.027166667	0.048833333	0.107166667	0.026833333	0.016833333
14	0.028333333	0.040333333	0.028333333	0.048	0.015666667	0.059666667	0.030666667	0.072333333	0.018333333	0.035333333	0.040333333	0.077	0.062333333	0.045333333	0.052666667	0.008666667	0	0	0.011	0
16	0.004583333	0.07025	0.111583333	0.10925	0.10425	0.065583333	0.04325	0.07525	0.06025	0.067916667	0.062583333	0.128583333	0.035916667	0.05325	0.06525	0	0.02125	0	0.028583333	0.038583333
18	0	0.063416667	0.051416667	0.061083333	0.073416667	0.05875	0.083083333	0.20275	0.04875	0.049083333	0.039083333	0.085416667	0.051416667	0.09275	0.068083333	0.06575	0	0.007416667	0.03175	0.017083333
20	0.0625	0.091833333	0.125833333	0.1625	0.159833333	0.0865	0.084166667	0.0845	0.064833333	0.104166667	0.133166667	0.1895	0.054833333	0.052166667	0.071833333	0.0625	0	0.0575	0.0795	0.071833333
22	0.031916667	0.25925	0.13725	0.20825	0.117583333	0.068916667	0.068583333	0.16425	0.073583333	0.03925	0.041583333	0.068583333	0.034583333	0.134916667	0.06625	0.08825	0.090583333	0.026916667	0.119916667	0
24	0.093916667	0.130916667	0.106583333	0.159916667	0.071916667	0.020916667	0.025583333	0.096583333	0.064916667	0.225916667	0.150583333	0.108916667	0.057583333	0.064916667	0.174916667	0.040583333	0.062583333	0.032916667	0.047583333	0.123583333
